"","trimestre","alcance","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"162",2010-03-01,"Aysén",2183.77742059806,51423.823959546,49240.0465389479,75517,7473.16106038486,56713.2075993328,4.2,68.1,65.2,13.2
"163",2010-04-01,"Aysén",1989.60464046773,52252.7857951114,50263.1811546437,75614,6373.86419898741,56637.0453536311,3.8,69.1,66.5,11.3
"164",2010-05-01,"Aysén",2254.76934615065,52093.3519275624,49838.5825814118,75680,6496.02489042338,56334.6074718352,4.3,68.8,65.9,11.5
"165",2010-06-01,"Aysén",2177.1019744721,52863.0502662115,50685.9482917394,75768,6402.46389211501,57088.4121838544,4.1,69.8,66.9,11.2
"166",2010-07-01,"Aysén",2566.58032493601,52460.3271976466,49893.7468727106,75854,7255.76640491104,57149.5132776216,4.9,69.2,65.8,12.7
"167",2010-08-01,"Aysén",2346.80654766319,54191.3061994922,51844.499651829,75953,7117.08276495192,58961.5824167809,4.3,71.3,68.3,12.1
"168",2010-09-01,"Aysén",2275.53396479591,54567.2520921481,52291.7181273522,76025,7357.67582024881,59649.393947601,4.2,71.8,68.8,12.3
"169",2010-10-01,"Aysén",2346.74307444447,55708.0316007457,53361.2885263013,76119,6864.57842260214,60225.8669489034,4.2,73.2,70.1,11.4
"170",2010-11-01,"Aysén",2474.11700908039,54673.304511228,52199.1875021477,76175,6893.7967773676,59092.9842795152,4.5,71.8,68.5,11.7
"171",2010-12-01,"Aysén",2361.31300511953,54254.9240092603,51893.6110041407,76271,6725.9627828255,58619.5737869662,4.4,71.1,68,11.5
"172",2011-01-01,"Aysén",1963.01506592158,53107.6653937787,51144.6503278571,76353,7093.55134169763,58238.2016695548,3.7,69.6,67,12.2
"173",2011-02-01,"Aysén",1958.72517972349,52645.5251181185,50686.799938395,76438,6689.4471823556,57376.2471207506,3.7,68.9,66.3,11.7
"174",2011-03-01,"Aysén",2599.13005171258,51192.000281462,48592.8702297494,76509,7572.05138577301,56164.9216155224,5.1,66.9,63.5,13.5
"175",2011-04-01,"Aysén",2857.41050848547,52238.4261753123,49381.0156668269,76605,7403.55930792545,56784.5749747523,5.5,68.2,64.5,13
"176",2011-05-01,"Aysén",2939.19173648708,53324.6595791617,50385.4678426746,76668,7291.1126446229,57676.5804872975,5.5,69.6,65.7,12.6
"177",2010-02-01,"Magallanes",4441.93468887882,79585.1094734196,75143.1747845408,127213,13410.9828087177,88554.1575932585,5.6,62.6,59.1,15.1
"178",2010-03-01,"Magallanes",4251.6182317582,78091.1658921431,73839.5476603849,127356,12452.2352843869,86291.7829447718,5.4,61.3,58,14.4
"179",2010-04-01,"Magallanes",3547.41065787428,77496.0597156663,73948.649057792,127488,12342.7824284409,86291.4314862329,4.6,60.8,58,14.3
