"","trimestre","alcance","sexo","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"301",2010-08-01,"Los Lagos",1,12566.1268424825,231802.895966464,219236.769123982,315519,25102.3593947965,244339.128518778,5.4,73.5,69.5,10.3
"302",2010-08-01,"Los Lagos",2,6631.78662253335,144066.311364218,137434.524741685,321020,29673.1989413559,167107.723683041,4.6,44.9,42.8,17.8
"303",2010-09-01,"Los Lagos",1,11550.0799605477,231060.607782028,219510.52782148,315904,22339.2274771124,241849.755298593,5,73.1,69.5,9.2
"304",2010-09-01,"Los Lagos",2,7206.25414665701,144837.944823737,137631.69067708,321420,28889.1919598833,166520.882636964,5,45.1,42.8,17.3
"305",2010-10-01,"Los Lagos",1,8476.66295773549,230274.400425951,221797.737468216,316280,20609.1216734404,242406.859141656,3.7,72.8,70.1,8.5
"306",2010-10-01,"Los Lagos",2,6818.75824707108,143444.717473512,136625.959226441,321874,28402.1258658004,165028.085092241,4.8,44.6,42.4,17.2
"307",2010-11-01,"Los Lagos",1,8030.36029448249,231568.034458686,223537.674164203,316679,20287.3427924961,243825.016956699,3.5,73.1,70.6,8.3
"308",2010-11-01,"Los Lagos",2,6287.61855814255,142559.385607892,136271.76704975,322300,29277.4121281179,165549.179177867,4.4,44.2,42.3,17.7
"309",2010-12-01,"Los Lagos",1,5238.57155266573,228807.585991845,223569.014439179,317086,18543.2090393687,242112.223478548,2.3,72.2,70.5,7.7
"310",2010-12-01,"Los Lagos",2,5537.83073070526,143738.352772211,138200.522041506,322724,28258.4891344396,166459.011175945,3.9,44.5,42.8,17
"311",2011-01-01,"Los Lagos",1,5266.62769674673,229080.149173779,223813.521477032,317472,16447.6811890609,240261.202666093,2.3,72.2,70.5,6.8
"312",2011-01-01,"Los Lagos",2,6068.62532700009,141735.051675833,135666.426348833,323148,29254.6298720278,164921.056220861,4.3,43.9,42,17.7
"313",2011-02-01,"Los Lagos",1,5551.37825617203,234662.311032292,229110.93277612,317887,15009.4142217901,244120.34699791,2.4,73.8,72.1,6.1
"314",2011-02-01,"Los Lagos",2,7689.15594513803,142845.58636117,135156.430416032,323599,27070.4722939928,162226.902710024,5.4,44.1,41.8,16.7
"315",2011-03-01,"Los Lagos",1,7066.40241857911,235570.021770497,228503.619351918,318274,15204.1402603824,243707.759612301,3,74,71.8,6.2
"316",2011-03-01,"Los Lagos",2,9509.77002577849,141637.430259136,132127.660233357,323994,30231.9419421936,162359.602175551,6.7,43.7,40.8,18.6
"317",2011-04-01,"Los Lagos",1,7891.28541824739,236281.543893163,228390.258474916,318661,16854.5489970548,245244.807471971,3.3,74.1,71.7,6.9
"318",2011-04-01,"Los Lagos",2,8394.22205541441,143816.985313204,135422.76325779,324401,29025.1326865313,164447.895944321,5.8,44.3,41.7,17.7
"319",2011-05-01,"Los Lagos",1,7432.81388567029,237226.516352955,229793.702467285,319073,18651.5365088208,248445.238976106,3.1,74.3,72,7.5
"320",2011-05-01,"Los Lagos",2,6346.70651423261,143008.354739671,136661.648225439,324839,31045.4813105774,167707.129536016,4.4,44,42.1,18.5
"321",2010-02-01,"Aysén",1,824.923968577589,31266.5927177806,30441.668749203,38626,2571.74430835199,33013.413057555,2.6,80.9,78.8,7.8
"322",2010-02-01,"Aysén",2,1354.67355378831,20564.3689810866,19209.6954272983,36812,4992.29118263067,24201.9866099289,6.6,55.9,52.2,20.6
"323",2010-03-01,"Aysén",1,824.387315670435,31020.4395872557,30196.0522715853,38655,2425.45146121808,32621.5037328033,2.7,80.2,78.1,7.4
